"sp","x","y"
"Sphagnum cuspidatum",103829.494982484,-93136.5639860265
"Sphagnum cuspidatum",99379.0564888998,-90972.169166548
"Sphagnum lindbergii",-213057.786207908,302570.346536303
"Sphagnum lindbergii",-289508.557260608,-140888.388519928
"Sphagnum cuspidatum",49246.1460283868,5904.17518162005
"Sphagnum lindbergii",-134486.109343891,-290352.335131898
"Sphagnum cuspidatum",37686.1729729204,-12496.3613518842
"Sphagnum lindbergii",37686.1729729204,-12496.3613518842
"Sphagnum lindbergii",-155188.396059637,-194802.220323388
"Sphagnum lindbergii",-145103.631050126,80233.7840935228
"Sphagnum lindbergii",-263099.437927175,-164213.376015813
"Sphagnum cuspidatum",-194311.599874509,-354103.676908671
"Sphagnum cuspidatum",-8414.71868470561,-139423.892220182
"Sphagnum lindbergii",-117395.525322594,-277629.728264184
"Sphagnum cuspidatum",-13871.3415256908,-28424.7880254374
"Sphagnum lindbergii",-57761.2339425282,-347834.272735339
"Sphagnum cuspidatum",-25805.5480353398,-393601.994278345
"Sphagnum cuspidatum",-56488.1878347696,-361393.554056008
"Sphagnum cuspidatum",-65759.5348111324,-363192.961116388
"Sphagnum cuspidatum",-54806.009256376,-366906.914450757
"Sphagnum cuspidatum",-63462.3552506866,-363827.080012097
"Sphagnum cuspidatum",-39517.4182172407,-389131.127739086
"Sphagnum cuspidatum",-66072.3809678621,-366829.374592343
"Sphagnum cuspidatum",-65759.5348111324,-363192.961116388
"Sphagnum cuspidatum",-57761.2339425282,-347834.272735339
"Sphagnum cuspidatum",-54806.009256376,-366906.914450757
"Sphagnum cuspidatum",2323.94930432547,-279465.73677117
"Sphagnum cuspidatum",-21465.9781029574,-318193.445991197
"Sphagnum cuspidatum",-42570.0624840813,-286482.434960537
"Sphagnum cuspidatum",-55944.8308018798,-318966.135793299
"Sphagnum cuspidatum",-42570.0624840813,-286482.434960537
"Sphagnum lindbergii",208091.021017288,763625.30736189
"Sphagnum lindbergii",136419.293651052,692492.248734832
"Sphagnum lindbergii",213221.21458587,761971.743505499
"Sphagnum lindbergii",208474.977603577,771571.680913003
"Sphagnum lindbergii",209411.55227083,764035.753316883
"Sphagnum lindbergii",137185.555686715,685604.340740274
"Sphagnum lindbergii",317013.592634743,706657.443367166
"Sphagnum lindbergii",212947.926239286,761567.703396237
"Sphagnum lindbergii",125825.619872291,727428.752059374
"Sphagnum lindbergii",137214.109934837,685470.116220991
"Sphagnum lindbergii",208240.361705045,772164.930879295
"Sphagnum lindbergii",211669.055086706,764028.564042186
"Sphagnum lindbergii",145410.595955692,733347.760454821
"Sphagnum lindbergii",314278.395076759,708001.760085151
"Sphagnum lindbergii",138471.529451958,685832.691955558
"Sphagnum lindbergii",284017.301787719,744983.869023264
"Sphagnum lindbergii",126523.527590833,700041.011732606
"Sphagnum lindbergii",298472.265652692,737516.647092459
"Sphagnum lindbergii",208708.394263298,765047.521695671
"Sphagnum lindbergii",281132.212351891,771010.378543589
"Sphagnum lindbergii",124674.574775036,700177.918692033
"Sphagnum lindbergii",233574.460142706,745240.550229976
"Sphagnum lindbergii",213031.779946961,763189.563501927
"Sphagnum lindbergii",74758.5198925105,693697.070870773
"Sphagnum lindbergii",74737.8632117282,692015.218634934
"Sphagnum lindbergii",126250.648083801,727209.827863057
"Sphagnum lindbergii",206395.732871761,770317.068541419
"Sphagnum lindbergii",144014.293303805,734633.957292909
"Sphagnum lindbergii",83687.718372099,696325.30177403
"Sphagnum lindbergii",298420.86817752,737409.462313962
"Sphagnum lindbergii",126868.437488462,728172.86619264
"Sphagnum lindbergii",230723.407657265,749787.559817954
"Sphagnum lindbergii",126566.456844065,727685.983042581
"Sphagnum lindbergii",38732.2580402879,692383.753661111
"Sphagnum lindbergii",113623.670585901,686202.571052408
"Sphagnum lindbergii",38575.4615643043,692765.305050303
"Sphagnum lindbergii",124272.009444895,700522.435539281
"Sphagnum lindbergii",136307.582870007,683000.686825264
"Sphagnum lindbergii",125858.650935425,699719.444682851
"Sphagnum lindbergii",138083.230506678,684030.354654322
"Sphagnum lindbergii",127458.627832536,730692.171868818
"Sphagnum lindbergii",113132.814227769,695644.384694139
"Sphagnum lindbergii",143716.14380832,735319.253391915
"Sphagnum lindbergii",126476.69064808,726576.197092443
"Sphagnum lindbergii",229703.47274684,749470.347237277
"Sphagnum lindbergii",208227.098497173,771554.001845718
"Sphagnum lindbergii",209398.472384685,764034.818132703
"Sphagnum lindbergii",316832.133453458,706842.382496876
"Sphagnum lindbergii",145442.563456432,733236.454722842
"Sphagnum lindbergii",208064.912771523,771192.269015969
"Sphagnum lindbergii",330137.699340419,687239.457867564
"Sphagnum lindbergii",124901.154680762,702659.727270483
"Sphagnum lindbergii",127692.701758688,730386.276585438
"Sphagnum lindbergii",127527.497532713,730221.171909377
"Sphagnum lindbergii",38311.3845232753,692107.593034878
"Sphagnum lindbergii",145049.833531061,733770.27095377
"Sphagnum lindbergii",138385.44089471,685851.317077714
"Sphagnum lindbergii",211963.252936144,763778.677028168
"Sphagnum lindbergii",125883.48921964,699765.64822015
"Sphagnum lindbergii",229575.507751352,750093.512307207
"Sphagnum lindbergii",205673.520514095,769893.400130925
"Sphagnum lindbergii",205118.135385959,769831.782793873
"Sphagnum lindbergii",83684.7228016323,696912.009807433
"Sphagnum lindbergii",209593.694457291,763449.997135999
"Sphagnum lindbergii",126367.257221181,726548.962402014
"Sphagnum lindbergii",136501.669919578,692157.212596409
"Sphagnum lindbergii",128522.726683983,730094.903001289
"Sphagnum lindbergii",74662.2350993091,693796.228298534
"Sphagnum lindbergii",135499.985283112,692631.271960586
"Sphagnum lindbergii",145495.986722758,733227.792864713
"Sphagnum lindbergii",83556.4697870894,696389.346031286
"Sphagnum lindbergii",75100.7109172194,693412.234332287
"Sphagnum lindbergii",144705.602280046,736022.151538073
"Sphagnum lindbergii",127839.510499119,729850.929474916
"Sphagnum lindbergii",125738.511858942,699285.384202008
"Sphagnum lindbergii",126641.411807671,727587.616574673
"Sphagnum lindbergii",207968.920079557,771558.202635969
"Sphagnum lindbergii",209666.043086166,764765.717900877
"Sphagnum lindbergii",125764.436858688,702278.207841759
"Sphagnum lindbergii",209965.011064093,764628.972033134
"Sphagnum lindbergii",114172.627411744,685320.155849766
"Sphagnum lindbergii",208347.917042326,772127.417478572
"Sphagnum lindbergii",205682.222996068,769894.012490326
"Sphagnum lindbergii",211771.581238758,762973.915904508
"Sphagnum lindbergii",205942.128656151,769618.624526801
"Sphagnum lindbergii",206717.676814573,770339.822650785
"Sphagnum lindbergii",136121.563882749,788520.500524762
"Sphagnum lindbergii",288687.957754229,803944.232513614
"Sphagnum lindbergii",268480.589115923,846736.0935868
"Sphagnum lindbergii",268417.088932982,846956.146680314
"Sphagnum lindbergii",136161.73768167,788680.240155083
"Sphagnum lindbergii",203165.147612086,782649.327926745
"Sphagnum lindbergii",203395.084377964,782349.194994575
"Sphagnum lindbergii",247789.305611446,820299.943111699
"Sphagnum lindbergii",287634.271136158,777916.101487882
"Sphagnum lindbergii",174727.511974425,793080.814233053
"Sphagnum lindbergii",272072.293768367,846952.853729204
"Sphagnum lindbergii",136263.812278111,788628.650334934
"Sphagnum lindbergii",288536.563810256,805242.011066372
"Sphagnum lindbergii",265645.847627118,839677.731794255
"Sphagnum lindbergii",251464.278741071,821286.066649299
"Sphagnum lindbergii",136687.586352886,788738.768737699
"Sphagnum lindbergii",206671.096145659,779993.701362389
"Sphagnum lindbergii",194274.231587535,734729.697847174
"Sphagnum lindbergii",148878.610681893,828345.639513813
"Sphagnum lindbergii",131808.1565869,723975.412740261
"Sphagnum lindbergii",135035.436176429,718928.097197481
"Sphagnum lindbergii",125418.494638254,834285.433612333
"Sphagnum lindbergii",191382.492699036,729038.919011557
"Sphagnum lindbergii",261698.446880725,718784.828770311
"Sphagnum lindbergii",212971.628111965,899659.738142702
"Sphagnum lindbergii",125216.557863386,834028.780815649
"Sphagnum lindbergii",148589.919323603,828882.857074014
"Sphagnum lindbergii",122183.016294365,793097.375937291
"Sphagnum lindbergii",150596.395208567,828773.534150336
"Sphagnum lindbergii",132294.986039791,720001.413802672
"Sphagnum lindbergii",244162.335898556,843722.409708646
"Sphagnum lindbergii",244450.297332677,872493.244415233
"Sphagnum lindbergii",131649.61788111,725153.471550765
"Sphagnum lindbergii",206921.389979104,919157.134639667
"Sphagnum lindbergii",300431.87948386,852906.99532369
"Sphagnum lindbergii",250798.378504394,830900.286698819
"Sphagnum lindbergii",112510.864077239,835583.905884456
"Sphagnum lindbergii",211105.636225109,863068.829662889
"Sphagnum lindbergii",109854.904645213,814993.122276189
"Sphagnum lindbergii",143813.80070506,763444.869857258
"Sphagnum lindbergii",245571.263661023,835880.560903549
"Sphagnum lindbergii",243791.865962442,841409.345593405
"Sphagnum lindbergii",243733.961321468,874564.512464989
"Sphagnum lindbergii",17973.494031005,699891.956558081
"Sphagnum lindbergii",260247.353145049,912458.702614428
"Sphagnum lindbergii",18156.010309633,698449.263246297
"Sphagnum lindbergii",110141.047813719,812446.762024774
"Sphagnum lindbergii",88967.1867182835,753622.611960014
"Sphagnum lindbergii",246471.988331093,866968.29338928
"Sphagnum lindbergii",221586.882499377,860812.871106735
"Sphagnum lindbergii",243216.934860989,874384.405939373
"Sphagnum lindbergii",87231.6728699746,754698.057963531
"Sphagnum lindbergii",33259.0666083303,704895.573693232
"Sphagnum lindbergii",135799.061410588,719109.616539517
"Sphagnum lindbergii",245048.236243414,872183.922591352
"Sphagnum lindbergii",150637.257745488,828809.492847573
"Sphagnum lindbergii",248584.294316491,869072.635969327
"Sphagnum lindbergii",18666.2851016368,698114.00637105
"Sphagnum lindbergii",274572.928042779,859095.405485012
"Sphagnum lindbergii",18666.2851016368,698114.00637105
"Sphagnum lindbergii",262226.870184712,718661.546537165
"Sphagnum lindbergii",196664.229181434,735170.108895811
"Sphagnum lindbergii",89653.9702349166,753361.603751033
"Sphagnum lindbergii",136391.301097112,718673.895818537
"Sphagnum lindbergii",86751.6728898094,754052.471701082
"Sphagnum lindbergii",207579.640639918,919127.47352038
"Sphagnum lindbergii",131869.346299108,720400.136305519
"Sphagnum lindbergii",191120.522996345,729666.038254338
"Sphagnum lindbergii",147037.134131342,829569.014116
"Sphagnum lindbergii",124778.99795712,791257.757957995
"Sphagnum lindbergii",135150.442398474,719813.794009451
"Sphagnum lindbergii",143964.834606055,763395.878945416
"Sphagnum lindbergii",113084.23708759,837993.85715671
"Sphagnum lindbergii",261870.170974609,718709.370824429
"Sphagnum lindbergii",244653.878077822,872048.100463037
"Sphagnum lindbergii",147197.408066515,827447.359427087
"Sphagnum lindbergii",127938.921410629,831412.05664253
"Sphagnum lindbergii",148182.171929841,829244.889167476
"Sphagnum lindbergii",33967.2136421374,703256.753818796
"Sphagnum lindbergii",132652.665492044,718245.182744539
"Sphagnum lindbergii",134484.096768799,720720.468578449
"Sphagnum lindbergii",109611.134620306,814296.641432178
"Sphagnum lindbergii",86837.8851581526,754246.686095794
"Sphagnum lindbergii",147459.846661986,829410.447196878
"Sphagnum lindbergii",134325.662539461,722361.29274039
"Sphagnum lindbergii",112127.975944987,836221.991204647
"Sphagnum lindbergii",109949.154881429,814996.721569327
"Sphagnum lindbergii",109546.452273804,815206.669163527
"Sphagnum lindbergii",134853.046044719,720308.247067812
"Sphagnum lindbergii",261519.701538964,719244.609958402
"Sphagnum lindbergii",244537.632696721,843381.90029297
"Sphagnum lindbergii",109919.595830717,814984.327100174
"Sphagnum lindbergii",88162.0081534333,754331.212224492
"Sphagnum lindbergii",125392.469186589,834295.555520029
"Sphagnum lindbergii",196355.551303277,735556.365529248
"Sphagnum lindbergii",143846.968794323,763570.598864484
"Sphagnum lindbergii",34069.5737243339,703257.918562745
"Sphagnum lindbergii",112563.938187622,836723.356001974
"Sphagnum lindbergii",260176.98983306,912452.117469272
"Sphagnum lindbergii",147914.371527007,829050.7356419
"Sphagnum lindbergii",112572.717161649,835743.997558857
"Sphagnum lindbergii",148424.599820611,829020.787219847
"Sphagnum lindbergii",126953.934250111,831390.715724493
"Sphagnum lindbergii",110049.150842259,813727.545269028
"Sphagnum lindbergii",206761.007636107,919359.179343528
"Sphagnum lindbergii",286380.656883033,794241.240732918
"Sphagnum lindbergii",255141.544942914,903015.051152249
"Sphagnum lindbergii",171890.795279369,632357.952900837
"Sphagnum lindbergii",175949.099981701,629501.163999328
"Sphagnum lindbergii",158847.639720538,712798.163042148
"Sphagnum lindbergii",217946.216375602,736074.288726444
"Sphagnum lindbergii",298916.525218735,773206.64032049
"Sphagnum lindbergii",189773.355949656,920847.00627041
"Sphagnum lindbergii",124903.049827164,623051.726272699
"Sphagnum lindbergii",248997.592914047,925414.109588639
"Sphagnum lindbergii",113156.132834439,615918.312435666
"Sphagnum lindbergii",248986.14603326,925356.695394241
"Sphagnum lindbergii",119958.769801962,612028.518884159
"Sphagnum lindbergii",200932.62479911,882033.731237719
"Sphagnum lindbergii",255042.768948034,903683.093037242
"Sphagnum lindbergii",242514.639708665,926991.847834446
"Sphagnum lindbergii",249287.069215243,925474.000976311
"Sphagnum lindbergii",255321.094272246,902975.053661954
"Sphagnum lindbergii",111713.516349889,618509.682549309
"Sphagnum lindbergii",173922.908185437,934816.894411183
"Sphagnum lindbergii",118118.619502922,607425.576261777
"Sphagnum lindbergii",124776.982159882,660929.25426319
"Sphagnum lindbergii",238270.69917128,747618.236089552
"Sphagnum lindbergii",115299.353185352,613681.315085473
"Sphagnum lindbergii",128678.159857149,608492.200388999
"Sphagnum lindbergii",170834.155332033,633520.042569315
"Sphagnum lindbergii",248997.686686316,925459.225432253
"Sphagnum lindbergii",176760.759585314,628993.719053765
"Sphagnum lindbergii",244332.844992418,930782.153377953
"Sphagnum lindbergii",171662.7524935,632593.932263534
"Sphagnum lindbergii",217899.402512611,736229.107273024
"Sphagnum lindbergii",285194.753558068,794780.794302138
"Sphagnum lindbergii",178022.401218346,628308.997707277
"Sphagnum lindbergii",222906.894534346,726957.458390228
"Sphagnum lindbergii",240648.712641163,887423.063738906
"Sphagnum lindbergii",287577.584172143,809763.781264788
"Sphagnum lindbergii",200475.427404822,882429.369961689
"Sphagnum lindbergii",288266.35148579,822415.928096506
"Sphagnum lindbergii",188131.277305641,618731.381566969
"Sphagnum lindbergii",242288.175504956,926735.248239508
"Sphagnum lindbergii",216341.680668958,885725.893621588
"Sphagnum lindbergii",112787.243773107,616096.865204606
"Sphagnum lindbergii",112619.804917365,615909.935319095
"Sphagnum lindbergii",225123.523763377,859173.603391657
"Sphagnum lindbergii",254649.618398755,901751.365733393
"Sphagnum lindbergii",188254.700963826,625029.037018084
"Sphagnum lindbergii",129347.461545944,607887.214390568
"Sphagnum lindbergii",119155.25461083,615579.752842884
"Sphagnum lindbergii",198387.993675593,764951.311452908
"Sphagnum lindbergii",200501.383670551,764462.751272279
"Sphagnum lindbergii",117540.091348453,608725.755128746
"Sphagnum lindbergii",175060.942100066,630151.450202719
"Sphagnum lindbergii",217942.72374331,844474.566467477
"Sphagnum lindbergii",200641.576234209,881810.067061895
"Sphagnum lindbergii",141596.044798593,855283.055111722
"Sphagnum lindbergii",114798.139034278,614566.61418384
"Sphagnum lindbergii",125848.867113009,638977.865691019
"Sphagnum lindbergii",125953.639291303,638756.209669321
"Sphagnum lindbergii",158987.936201527,712670.118164575
"Sphagnum lindbergii",238892.805509983,748109.701391616
"Sphagnum lindbergii",185206.227945218,706127.444148339
"Sphagnum lindbergii",126102.657637319,618580.307068388
"Sphagnum lindbergii",177622.238230138,628342.327818695
"Sphagnum lindbergii",254835.742645336,902603.42470585
"Sphagnum lindbergii",128008.695511244,618274.822074917
"Sphagnum lindbergii",252770.249820552,932297.054566804
"Sphagnum lindbergii",209908.53677598,897681.085589957
"Sphagnum lindbergii",151377.430501808,868762.365767467
"Sphagnum lindbergii",299690.061362428,769774.205354255
"Sphagnum lindbergii",184241.277239655,918571.478462501
"Sphagnum lindbergii",244833.673690997,931863.687749075
"Sphagnum lindbergii",129145.526201222,607765.721652189
"Sphagnum lindbergii",276821.250421083,780943.790924816
"Sphagnum lindbergii",126328.358264271,640376.106803884
"Sphagnum lindbergii",120507.789121552,615485.509254678
"Sphagnum lindbergii",154715.038463022,858288.57315313
"Sphagnum lindbergii",111815.005177048,616852.35188482
"Sphagnum lindbergii",124184.242082695,623734.497790782
"Sphagnum lindbergii",225966.73160648,858394.408554634
"Sphagnum lindbergii",243826.345384836,800117.674923781
"Sphagnum lindbergii",125073.998713005,622900.476387051
"Sphagnum lindbergii",117839.585090632,607505.319440963
"Sphagnum lindbergii",273109.705518858,810970.170872933
"Sphagnum lindbergii",251873.111670605,827220.674251518
"Sphagnum lindbergii",174472.391375999,776635.145134474
"Sphagnum lindbergii",202766.304119982,764709.071446402
"Sphagnum lindbergii",229392.706471074,852992.786509631
"Sphagnum lindbergii",173790.892559055,934426.090319177
"Sphagnum lindbergii",158595.248614987,712524.9629772
"Sphagnum lindbergii",189013.447255413,920378.556570896
"Sphagnum lindbergii",200359.272383538,881463.080098384
"Sphagnum lindbergii",139131.640334681,854158.871731129
"Sphagnum lindbergii",141204.683143228,854722.979810108
"Sphagnum lindbergii",157745.098728099,760990.947924066
"Sphagnum lindbergii",177430.629004194,628410.397207201
"Sphagnum lindbergii",127014.206341887,617487.667447872
"Sphagnum lindbergii",185222.358959248,706083.240882933
