sample_id,stem_id,species,water mas,CPg,wc,NF,NSlf,SL,STm,Pbr,Sbr,P:S,SD.PL,SD.SL,SD.P:S,Pendent 1,Pendent 2,Pendent 3,Pendent 4,Pendent 5,Pendent 6,Pendent 7,Pendent 8,Pendent 9,Pendent 10,Spreading 1,Spreading 2,Spreading 3,Spreading 4,Spreading 5,Spreading 6,Spreading 7,Spreading 8,Spreading 9,Spreading 10,P:S1,P:S2,P:S3,P:S4,P:S5,P:S6,P:S7,P:S8,P:S9,P:S10
s1.29.06.cu.1,s1.29.06.cu.1.1,S.cuspidatum,0.4095,0.0298,13.7416,31,52,2.37,0.0196,0.8805,0.9605,0.920886475,0.108844155,0.112411966,0.095655922,0.9,0.995,0.93,0.853,0.864,1.069,0.951,0.684,0.811,0.748,0.9,1.058,0.993,0.76,1.058,1.057,1.1,0.81,1.004,0.865,1,0.940453686,0.936555891,1.122368421,0.816635161,1.011352886,0.864545455,0.844444444,0.807768924,0.864739884
s1.29.06.cu.1,s1.29.06.cu.1.2,S.cuspidatum,0.3074,0.0264,11.6439,36,66,3.38,0.0227,0.9891,1.083,0.927862024,0.123347841,0.151568466,0.145071118,1.002,0.852,0.937,0.992,1.034,1.322,0.971,0.926,0.874,0.981,1.316,1.288,0.895,1.065,1.023,1.194,1.204,1.023,0.958,0.864,0.761398176,0.661490683,1.046927374,0.931455399,1.010752688,1.10720268,0.806478405,0.905180841,0.912317328,1.135416667
s1.29.06.cu.1,s1.29.06.cu.1.3,S.cuspidatum,0.2044,0.0163,12.5399,17,41,2.06,0.0086,0.8399,0.9937,0.856175586,0.165532142,0.210829339,0.120113755,0.992,0.916,1.107,0.638,0.905,0.96,0.895,0.765,0.625,0.596,1.065,1.461,1.097,0.645,1.035,1.076,1.013,0.884,0.745,0.916,0.931455399,0.62696783,1.00911577,0.989147287,0.874396135,0.892193309,0.883514314,0.865384615,0.838926174,0.650655022
s1.29.06.cu.1,s1.29.06.cu.1.4,S.cuspidatum,0.3758,0.0301,12.485,25,49,2.57,0.0206,0.9871,1.1157,0.896675133,0.148041514,0.155618154,0.146145957,1.12,0.724,1.11,0.96,0.948,1.215,0.798,0.916,0.949,1.131,1.236,1.236,1.236,0.873,1.215,1.172,0.958,0.842,1.109,1.28,0.906148867,0.585760518,0.898058252,1.099656357,0.780246914,1.03668942,0.832985386,1.087885986,0.855725879,0.88359375
s1.29.06.cu.1,s1.29.06.cu.1.5,S.cuspidatum,0.451,0.0251,17.9681,39,78,3.41,0.0225,0.8296,0.9543,0.873258912,0.13968264,0.083341526,0.146887939,1.11,0.777,0.811,1.013,0.916,0.682,0.874,0.693,0.735,0.685,1.034,0.905,1.023,0.981,0.853,0.853,0.894,0.925,1.128,0.947,1.073500967,0.858563536,0.792766373,1.032619776,1.073856975,0.799531067,0.977628635,0.749189189,0.651595745,0.723336853
s1.29.06.cu.2,s1.29.06.cu.2.1,S.cuspidatum,0.137,0.0096,14.2708,28,63,1.79,0.0089,0.7063,0.8181,0.857130725,0.21647173,0.207494313,0.116670505,0.345,1.09,0.787,0.665,0.884,0.64,0.565,0.958,0.457,0.672,0.533,1.086,1.141,0.745,0.948,0.798,0.735,0.991,0.501,0.703,0.64727955,1.003683241,0.689745837,0.89261745,0.932489451,0.802005013,0.768707483,0.966700303,0.912175649,0.955903272
s1.29.06.cu.2,s1.29.06.cu.2.2,S.cuspidatum,0.231,0.0156,14.8077,32,58,1.27,0.0164,0.9022,1.0182,0.894223041,0.139423671,0.115497879,0.141317474,0.842,0.945,1.065,0.805,0.905,1.226,0.805,0.821,0.884,0.724,0.968,1.065,1.128,0.926,1.065,1.055,0.766,1.023,0.971,1.215,0.869834711,0.887323944,0.944148936,0.869330454,0.849765258,1.162085308,1.050913838,0.802541544,0.910401648,0.595884774
s1.29.06.cu.2,s1.29.06.cu.2.3,S.cuspidatum,0.2851,0.0183,15.5792,33,72,1.62,0.0154,0.8434,0.9529,0.888483254,0.096042907,0.117552074,0.07024588,0.745,0.831,0.916,0.831,0.874,0.947,0.991,0.777,0.874,0.648,0.894,0.9,1.141,0.805,1.034,1.107,1.023,0.835,0.992,0.798,0.833333333,0.923333333,0.802804557,1.032298137,0.845261122,0.855465221,0.968719453,0.930538922,0.881048387,0.812030075
s1.29.06.cu.2,s1.29.06.cu.2.4,S.cuspidatum,0.2068,0.0139,14.8777,36,92,2.25,0.0124,0.8912,1.0513,0.852764671,0.248556955,0.224153541,0.161835997,1.298,1.257,0.968,1.086,0.705,0.554,0.745,0.596,0.937,0.766,1.278,1.2,0.971,1.268,0.971,0.645,0.745,0.96,1.11,1.365,1.015649452,1.0475,0.996910402,0.856466877,0.726055613,0.858914729,1,0.620833333,0.844144144,0.561172161
s1.29.06.cu.2,s1.29.06.cu.2.5,S.cuspidatum,0.2902,0.0202,14.3663,35,86,2.22,0.0209,1.0021,1.0861,0.925282537,0.162064462,0.144080151,0.100389676,0.947,0.874,0.777,1.225,0.958,1.105,0.884,1.236,0.832,1.183,1.076,0.981,1.086,1.194,1.173,1.236,0.874,1.194,0.811,1.236,0.880111524,0.890927625,0.715469613,1.025963149,0.816709292,0.894012945,1.011441648,1.035175879,1.025893958,0.957119741
